Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,ngrams,word,texttype


Artifact
,precision,recall,f1-score,support
Artifact,0.78699728900799726,0.78535195829861271,0.78579572521037078,414.39999999999998
None,0.77785565233624654,0.77958085251479137,0.77832902201510001,399.60000000000002

Accuracy,0.78230958230958236


Person
,precision,recall,f1-score,support
None,0.84090435369814787,0.84140634156341909,0.84113291619061903,1489.5999999999999
Person,0.84059600128085954,0.84017441913578739,0.84036239258195788,1483.4000000000001

Accuracy,0.84076690211907168


Location
,precision,recall,f1-score,support
Location,0.89266923293919809,0.88919801201623139,0.89087826767627143,1690.0
None,0.89162459314395037,0.8949783459676256,0.89324873887093137,1721.0

Accuracy,0.89208443271767801


Facility
,precision,recall,f1-score,support
Facility,0.80720314146807792,0.84197491828240023,0.82407595981454396,453.60000000000002
None,0.83961854547706627,0.80437574535458367,0.8214638371141284,466.39999999999998

Accuracy,0.82282608695652149


Organization
,precision,recall,f1-score,support
None,0.83822844916205386,0.83343010294661535,0.83561544348191674,531.39999999999998
Organization,0.83418591148714472,0.83889160627050763,0.83633043588317302,531.60000000000002

Accuracy,0.83612417685794915


